"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что без обязательных полей login, password или firstName курьер не создается","294","Для создания курьера необходимы все обязательные поля","tests","2025-11-21","broken","2025-11-21","TestCourierCreation","API Курьер","",""
"Проверяем, что нового курьера можно создать с корректными данными","414","Успешное создание курьера","tests","2025-11-21","passed","2025-11-21","TestCourierCreation","API Курьер","",""
"Проверяем, что при логине без логина или пароля возвращается ошибка","60422","Логин курьера без обязательных полей","tests","2025-11-21","failed","2025-11-21","TestCourierLogin","API Курьер","",""
"Проверяем, что заказ может быть успешно создан с указанием одного цвета, обоих цветов или без цвета","421","Успешное создание заказа с различными параметрами цвета","tests","2025-11-21","passed","2025-11-21","TestOrderCreation","API Заказ","",""
"Проверяем, что без обязательных полей login, password или firstName курьер не создается","298","Для создания курьера необходимы все обязательные поля","tests","2025-11-21","broken","2025-11-21","TestCourierCreation","API Курьер","",""
"Проверяем, что запрос списка заказов возвращает непустой список","8507","Получение списка заказов","tests","2025-11-21","passed","2025-11-21","TestOrdersList","API Заказ","",""
"Проверяем, что заказ может быть успешно создан с указанием одного цвета, обоих цветов или без цвета","312","Успешное создание заказа с различными параметрами цвета","tests","2025-11-21","broken","2025-11-21","TestOrderCreation","API Заказ","",""
"Проверяем, что зарегистрированный курьер может успешно авторизоваться","0","Успешный логин курьера","tests","2025-11-21","broken","2025-11-21","TestCourierLogin","API Курьер","",""
"Проверяем, что заказ может быть успешно создан с указанием одного цвета, обоих цветов или без цвета","434","Успешное создание заказа с различными параметрами цвета","tests","2025-11-21","passed","2025-11-21","TestOrderCreation","API Заказ","",""
"Проверяем, что при логине без логина или пароля возвращается ошибка","405","Логин курьера без обязательных полей","tests","2025-11-21","passed","2025-11-21","TestCourierLogin","API Курьер","",""
"Проверяем, что заказ может быть успешно создан с указанием одного цвета, обоих цветов или без цвета","464","Успешное создание заказа с различными параметрами цвета","tests","2025-11-21","passed","2025-11-21","TestOrderCreation","API Заказ","",""
"","0","test_create_courier_returns_ok_true","tests","2025-11-21","broken","2025-11-21","TestCourierCreation","API Курьер","",""
"Проверяем, что при логине с неправильным паролем возвращается ошибка","459","Логин курьера с неправильным паролем","tests","2025-11-21","passed","2025-11-21","TestCourierLogin","API Курьер","",""
"Проверяем, что без обязательных полей login, password или firstName курьер не создается","465","Для создания курьера необходимы все обязательные поля","tests","2025-11-21","failed","2025-11-21","TestCourierCreation","API Курьер","",""
"Проверяем, что при логине с несуществующим логином возвращается ошибка","0","Логин курьера с неправильным логином","tests","2025-11-21","broken","2025-11-21","TestCourierLogin","API Курьер","",""
"Проверяем, что система не позволяет создать курьера с уже существующим логином","412","Невозможно создать двух одинаковых курьеров","tests","2025-11-21","passed","2025-11-21","TestCourierCreation","API Курьер","",""
